"genome","array_size","following_spacing_size"
"R_holoschoenoides_hap1_chr",12197,353025
"R_holoschoenoides_hap1_chr",14392,543514
"R_holoschoenoides_hap1_chr",14228,322613
"R_holoschoenoides_hap1_chr",1540,316878
"R_holoschoenoides_hap1_chr",9683,180766
"R_holoschoenoides_hap1_chr",14876,338024
"R_holoschoenoides_hap1_chr",8478,429653
"R_holoschoenoides_hap1_chr",9410,347415
"R_holoschoenoides_hap1_chr",4759,293946
"R_holoschoenoides_hap1_chr",13028,702157
"R_holoschoenoides_hap1_chr",52427,989011
"R_holoschoenoides_hap1_chr",16265,421049
"R_holoschoenoides_hap1_chr",14753,325974
"R_holoschoenoides_hap1_chr",1862,116425
"R_holoschoenoides_hap1_chr",1410,221300
"R_holoschoenoides_hap1_chr",16588,285977
"R_holoschoenoides_hap1_chr",1508,222506
"R_holoschoenoides_hap1_chr",3021,540913
"R_holoschoenoides_hap1_chr",13516,773592
"R_holoschoenoides_hap1_chr",11647,229891
"R_holoschoenoides_hap1_chr",13492,499820
"R_holoschoenoides_hap1_chr",11269,743249
"R_holoschoenoides_hap1_chr",25537,348821
"R_holoschoenoides_hap1_chr",9579,456776
"R_holoschoenoides_hap1_chr",11605,398482
"R_holoschoenoides_hap1_chr",17710,406086
"R_holoschoenoides_hap1_chr",3135,127304
"R_holoschoenoides_hap1_chr",19833,328641
"R_holoschoenoides_hap1_chr",5572,408304
"R_holoschoenoides_hap1_chr",7527,435837
"R_holoschoenoides_hap1_chr",7642,406884
"R_holoschoenoides_hap1_chr",12734,808747
"R_holoschoenoides_hap1_chr",6168,274313
"R_holoschoenoides_hap1_chr",17270,338339
"R_holoschoenoides_hap1_chr",11550,305432
"R_holoschoenoides_hap1_chr",12156,234551
"R_holoschoenoides_hap1_chr",1593,255852
"R_holoschoenoides_hap1_chr",10345,311547
"R_holoschoenoides_hap1_chr",6015,177032
"R_holoschoenoides_hap1_chr",10833,390765
"R_holoschoenoides_hap1_chr",20306,441893
"R_holoschoenoides_hap1_chr",39678,661327
"R_holoschoenoides_hap1_chr",12166,702859
"R_holoschoenoides_hap1_chr",6651,466689
"R_holoschoenoides_hap1_chr",15196,107418
"R_holoschoenoides_hap1_chr",4909,416143
"R_holoschoenoides_hap1_chr",2067,753293
"R_holoschoenoides_hap1_chr",166047,586502
"R_holoschoenoides_hap1_chr",5476,242631
"R_holoschoenoides_hap1_chr",5562,296013
"R_holoschoenoides_hap1_chr",13081,534302
"R_holoschoenoides_hap1_chr",5846,277706
"R_holoschoenoides_hap1_chr",9911,219266
"R_holoschoenoides_hap1_chr",2031,430870
"R_holoschoenoides_hap1_chr",9190,613924
"R_holoschoenoides_hap1_chr",56092,444876
"R_holoschoenoides_hap1_chr",2175,214556
"R_holoschoenoides_hap1_chr",3576,206986
"R_holoschoenoides_hap1_chr",39250,375958
"R_holoschoenoides_hap1_chr",14365,190610
"R_holoschoenoides_hap1_chr",9825,453533
"R_holoschoenoides_hap1_chr",50399,605249
"R_holoschoenoides_hap1_chr",12612,334462
"R_holoschoenoides_hap1_chr",7945,413689
"R_holoschoenoides_hap1_chr",7055,728166
"R_holoschoenoides_hap1_chr",48050,649700
"R_holoschoenoides_hap1_chr",4667,342057
"R_holoschoenoides_hap1_chr",40047,390281
"R_holoschoenoides_hap1_chr",20077,253984
"R_holoschoenoides_hap1_chr",1430,271745
"R_holoschoenoides_hap1_chr",14842,375575
"R_holoschoenoides_hap1_chr",15634,479925
"R_holoschoenoides_hap1_chr",60069,819398
"R_holoschoenoides_hap1_chr",23399,490558
"R_holoschoenoides_hap1_chr",27741,325593
"R_holoschoenoides_hap1_chr",10735,701273
"R_holoschoenoides_hap1_chr",64994,338653
"R_holoschoenoides_hap1_chr",20701,319367
"R_holoschoenoides_hap1_chr",3065,137977
"R_holoschoenoides_hap1_chr",30096,328084
"R_holoschoenoides_hap1_chr",27432,693243
"R_holoschoenoides_hap1_chr",27458,317278
"R_holoschoenoides_hap1_chr",8852,NA
"R_holoschoenoides_hap1_chr",22881,406962
"R_holoschoenoides_hap1_chr",8967,103524
"R_holoschoenoides_hap1_chr",7823,335533
"R_holoschoenoides_hap1_chr",711,701460
"R_holoschoenoides_hap1_chr",37402,734701
"R_holoschoenoides_hap1_chr",81577,381646
"R_holoschoenoides_hap1_chr",21260,322389
"R_holoschoenoides_hap1_chr",16562,822308
"R_holoschoenoides_hap1_chr",14916,421157
"R_holoschoenoides_hap1_chr",27923,466440
"R_holoschoenoides_hap1_chr",38250,150818
"R_holoschoenoides_hap1_chr",4554,599640
"R_holoschoenoides_hap1_chr",20780,581016
"R_holoschoenoides_hap1_chr",1906,177926
"R_holoschoenoides_hap1_chr",5974,425112
"R_holoschoenoides_hap1_chr",17527,345728
"R_holoschoenoides_hap1_chr",10712,371616
"R_holoschoenoides_hap1_chr",48616,1087212
"R_holoschoenoides_hap1_chr",17921,372203
"R_holoschoenoides_hap1_chr",72480,409935
"R_holoschoenoides_hap1_chr",10939,564566
"R_holoschoenoides_hap1_chr",7608,393548
"R_holoschoenoides_hap1_chr",10696,393998
"R_holoschoenoides_hap1_chr",60042,551057
"R_holoschoenoides_hap1_chr",15624,489057
"R_holoschoenoides_hap1_chr",13961,388765
"R_holoschoenoides_hap1_chr",3413,129357
"R_holoschoenoides_hap1_chr",18775,424374
"R_holoschoenoides_hap1_chr",24757,567875
"R_holoschoenoides_hap1_chr",12743,434421
"R_holoschoenoides_hap1_chr",7864,735281
"R_holoschoenoides_hap1_chr",70173,405097
"R_holoschoenoides_hap1_chr",8513,381384
"R_holoschoenoides_hap1_chr",17145,733510
"R_holoschoenoides_hap1_chr",12949,356555
"R_holoschoenoides_hap1_chr",12918,415236
"R_holoschoenoides_hap1_chr",13923,575122
"R_holoschoenoides_hap1_chr",14642,447409
"R_holoschoenoides_hap1_chr",19736,736710
"R_holoschoenoides_hap1_chr",12004,324820
"R_holoschoenoides_hap1_chr",10211,413879
"R_holoschoenoides_hap1_chr",8305,326407
"R_holoschoenoides_hap1_chr",36184,414931
"R_holoschoenoides_hap1_chr",17921,356711
"R_holoschoenoides_hap1_chr",7051,754390
"R_holoschoenoides_hap1_chr",6873,528492
